INDEX,VALUE,TIME,DATE,TYPE
13,0.0934452936053276,00:30:00,01/01/2020,LEVEL(m)
13,0.12569285929203033,00:30:00,01/01/2020,LEVEL(m)
13,0.1300233155488968,00:30:00,01/01/2020,LEVEL(m)
13,0.12447167932987213,00:30:00,01/01/2020,LEVEL(m)
13,0.11851513385772705,00:30:00,01/01/2020,LEVEL(m)
13,0.12552937865257263,00:30:00,01/01/2020,LEVEL(m)
13,0.1411949247121811,00:30:00,01/01/2020,LEVEL(m)
13,0.141486257314682,00:30:00,01/01/2020,LEVEL(m)
13,0.14047689735889435,00:30:00,01/01/2020,LEVEL(m)
13,0.14280645549297333,00:30:00,01/01/2020,LEVEL(m)
13,0.14382177591323853,00:30:00,01/01/2020,LEVEL(m)
13,0.14248335361480713,00:30:00,01/01/2020,LEVEL(m)
13,0.14510098099708557,00:30:00,01/01/2020,LEVEL(m)
13,0.15166591107845306,00:30:00,01/01/2020,LEVEL(m)
13,0.16592435538768768,00:30:00,01/01/2020,LEVEL(m)
13,0.18261639773845673,00:30:00,01/01/2020,LEVEL(m)
13,0.19315944612026215,00:30:00,01/01/2020,LEVEL(m)
13,0.20388345420360565,00:30:00,01/01/2020,LEVEL(m)
13,0.21030013263225555,00:30:00,01/01/2020,LEVEL(m)
13,0.21121618151664734,00:30:00,01/01/2020,LEVEL(m)
13,0.20232214033603668,00:30:00,01/01/2020,LEVEL(m)
13,0.1914324313402176,00:30:00,01/01/2020,LEVEL(m)
13,0.18896593153476715,00:30:00,01/01/2020,LEVEL(m)
13,0.18602167069911957,00:30:00,01/01/2020,LEVEL(m)
13,0.18349537253379822,00:30:00,01/01/2020,LEVEL(m)
13,0.18403981626033783,00:30:00,01/01/2020,LEVEL(m)
13,0.18169867992401123,00:30:00,01/01/2020,LEVEL(m)
13,0.17648324370384216,00:30:00,01/01/2020,LEVEL(m)
13,0.1737927794456482,00:30:00,01/01/2020,LEVEL(m)
13,0.17558440566062927,00:30:00,01/01/2020,LEVEL(m)
13,0.1748967319726944,00:30:00,01/01/2020,LEVEL(m)
13,0.17019936442375183,00:30:00,01/01/2020,LEVEL(m)
13,0.16765829920768738,00:30:00,01/01/2020,LEVEL(m)
13,0.16824215650558472,00:30:00,01/01/2020,LEVEL(m)
13,0.17137517035007477,00:30:00,01/01/2020,LEVEL(m)
13,0.17494940757751465,00:30:00,01/01/2020,LEVEL(m)
13,0.17602521181106567,00:30:00,01/01/2020,LEVEL(m)
13,0.1786896288394928,00:30:00,01/01/2020,LEVEL(m)
13,0.18439918756484985,00:30:00,01/01/2020,LEVEL(m)
13,0.18488018214702606,00:30:00,01/01/2020,LEVEL(m)
13,0.1864451766014099,00:30:00,01/01/2020,LEVEL(m)
13,0.18953444063663483,00:30:00,01/01/2020,LEVEL(m)
13,0.1940261721611023,00:30:00,01/01/2020,LEVEL(m)
13,0.19254425168037415,00:30:00,01/01/2020,LEVEL(m)
13,0.19325509667396545,00:30:00,01/01/2020,LEVEL(m)
13,0.1883300542831421,00:30:00,01/01/2020,LEVEL(m)
13,0.17908336222171783,00:30:00,01/01/2020,LEVEL(m)
36,0.10167068988084793,20:30:00,01/21/2020,LEVEL(m)
36,0.10040917992591858,20:30:00,01/21/2020,LEVEL(m)
36,0.09736703336238861,20:30:00,01/21/2020,LEVEL(m)
36,0.09385877102613449,20:30:00,01/21/2020,LEVEL(m)
36,0.08992138504981995,20:30:00,01/21/2020,LEVEL(m)
36,0.10057217627763748,20:30:00,01/21/2020,LEVEL(m)
36,0.10765080153942108,20:30:00,01/21/2020,LEVEL(m)
36,0.10579176992177963,20:30:00,01/21/2020,LEVEL(m)
36,0.10601863265037537,20:30:00,01/21/2020,LEVEL(m)
36,0.10718941688537598,20:30:00,01/21/2020,LEVEL(m)
36,0.10659661889076233,20:30:00,01/21/2020,LEVEL(m)
36,0.10686298459768295,20:30:00,01/21/2020,LEVEL(m)
36,0.10902976989746094,20:30:00,01/21/2020,LEVEL(m)
36,0.11579776555299759,20:30:00,01/21/2020,LEVEL(m)
